12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-18,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-19,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-20,18200
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-21,18199
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-22,18431
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-23,18475
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-24,18373
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-25,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-26,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-27,18226
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-02-28,18400
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-01,17330
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-02,17975
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-03,17830
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-04,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-05,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-06,18300
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-07,18400
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-08,17905
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-09,18036
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-10,18000
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-11,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-12,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-13,18350
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-14,18350
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-15,18250
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-16,18101
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-17,18550
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-18,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-19,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-20,18350
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-21,18350
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-22,18219
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-23,18000
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-24,18200
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-25,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-26,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-27,17800
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-28,17850
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-29,17700
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-30,17947
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-03-31,18186
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-04-01,20
12173.Asien--Australien--Südamerika--Afrika_Südafrika_The-SPAR-Group-Ltd._02602Z,2017-04-02,20
